;$TERM;$NTERM;TERM;NL;NTERM;$RULE;END_OF_PROGRAM;$EPS;ASSIGN;$AXIOM
RightSideAlt;ERROR;ERROR;NTermOrTerm NTermOrTermListOpt;ERROR;NTermOrTerm NTermOrTermListOpt;ERROR;ERROR;$EPS;ERROR;ERROR
NTermOrTerm;ERROR;ERROR;TERM;ERROR;NTERM;ERROR;ERROR;ERROR;ERROR;ERROR
NTermOrTermListOpt;ERROR;ERROR;NTermOrTerm NTermOrTermListOpt;eps;NTermOrTerm NTermOrTermListOpt;ERROR;eps;ERROR;ERROR;ERROR
NTermDeclOpt;eps;$NTERM NTermList NL NLsOpt;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR
Rules;ERROR;ERROR;ERROR;ERROR;ERROR;$RULE NTERM ASSIGN RightSideAlt RSAListOrRuleListOrEndOpt;ERROR;ERROR;ERROR;ERROR
RSAListOrRuleListOrEndOpt;ERROR;ERROR;ERROR;NL NLsOpt RSAListOrRuleListOrEnd;ERROR;ERROR;eps;ERROR;ERROR;ERROR
NLsOpt;eps;eps;eps;NL NLsOpt;eps;eps;eps;eps;ERROR;eps
Grammar;ERROR;ERROR;ERROR;NLsOpt $AXIOM NTERM NL NLsOpt NTermDeclOpt $TERM TERM TermList NL NLsOpt Rules;ERROR;ERROR;ERROR;ERROR;ERROR;NLsOpt $AXIOM NTERM NL NLsOpt NTermDeclOpt $TERM TERM TermList NL NLsOpt Rules
TermList;ERROR;ERROR;TERM TermList;eps;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR
NTermList;ERROR;ERROR;ERROR;eps;NTERM NTermList;ERROR;ERROR;ERROR;ERROR;ERROR
RSAListOrRuleListOrEnd;ERROR;ERROR;RightSideAlt RSAListOrRuleListOrEndOpt;ERROR;RightSideAlt RSAListOrRuleListOrEndOpt;Rules;eps;RightSideAlt RSAListOrRuleListOrEndOpt;ERROR;ERROR